Unnamed: 0,Case_Number,Year,Type,Country,Area,Location,Activity,Sex,Age,Injury,Fatal,Time,Species,fatal_injury,shark_species,month_incident,country_code,continent,lat,long
1871,2002.04.01,2002,Unprovoked,USA,Florida,"Lauderdale-By-The-Sea, Broward County",Swimming/,M,29,Upper left arm bitten,N,11:30,shark,0,,Apr,US,,39.7837304,-100.445882
1872,2002.03.25,2002,Unprovoked,USA,Hawaii,"Brenecke Beach, Po'ipu, Kaua'i",Surfing,M,17,Left leg severed below knee,N,12:00,Tiger shark,0,tiger shark,Mar,US,,39.7837304,-100.445882
1873,2002.03.25,2002,Unprovoked,USA,Florida,"Cocoa Beach, Brevard County",Wading,F,11,Foot bitten,N,10:10,  ,0,,Mar,US,,39.7837304,-100.445882
1874,2002.03.24,2002,Unprovoked,Brazil,Pernambuco,"Boa Viagem Beach, Recife",Swimming,M,16,"Severe kacerations, FATAL",Y,17:00,Unknown,1,,Mar,BR,SA,-10.3333333,-53.2
1875,2002.03.19,2002,Unprovoked,USA,Florida,"Daytona Beach Shores, Volusia County",Swimming/,M,20,Punctures on left foot and foot ,N,15:45, shark,0,,Mar,US,,39.7837304,-100.445882
1876,2002.03.15,2002,Unprovoked,USA,Florida,"Deerfield Beach (near Boca Raton), Broward County",Snorkeling,M,39,Arm bitten,N,08:30,"Nurse shark,  ",0,nurse shark,Mar,US,,39.7837304,-100.445882
1877,2002.03.15,2002,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,31,Several  puncture wounds on lower right leg,N,10:55,"Spinner shark,  ",0,spinner shark,Mar,US,,39.7837304,-100.445882
1878,2002.03.03,2002,Invalid,New Caledonia,Loyalty Islands,Lifou,Spearfishing,M,44,"PRESUMED FATAL, body not recovered",Unknown,10:55,Shark involvement prior death unconfired,1,,Mar,NC,OC,-21.3019905,165.4880773
1879,2002.02.23,2002,Unprovoked,Turks and Caicos,Unknown,,Capsized,M,,FATAL,Y,10:55,Unknown,1,,Feb,TC,,21.7214683,-71.6201783
1880,2002.02.16,2002,Unprovoked,Australia,Queensland,Sunshine Beach,Surfing,M,30 or 36,Heel / foot bitten,N,09:00 -10:00,whaler shark,0,,Feb,AU,OC,-24.7761086,134.755
1881,2002.02.11,2002,Unprovoked,Fiji,Cikobia Island (north of Vanua Levu),,Unknown,M,15,"FATAL, lower thigh & knee severely lacerated ",Y,20:00,Unknown,1,,Feb,FJ,OC,-18.1239696,179.0122737
1882,2002.02.07,2002,Boat,Australia,New South Wales,Paramatta River (near Sydney),Kayaking,M,35,Stern of kayak bitten/chest bruised ,N,19:15,C. leucas oth fragment recovered frokayak,0,,Feb,AU,OC,-24.7761086,134.755
1883,2002.01.30,2002,Unprovoked,Australia,New South Wales,Just north of Fingal Spit,Surfing,M,20,Bruises & minor cuts,N,20:45 (Sunset),"Tiger shark, ",0,tiger shark,Jan,AU,OC,-24.7761086,134.755
1884,2002.01.30,2002,Unprovoked,Australia,Western Australia,Collie River ,Swimming,M,32,15 cm wound on inner thigh,N,20:45 (Sunset),Unknown,0,,Jan,AU,OC,-24.7761086,134.755
1885,2002.01.04,2002,Unprovoked,South Africa,KwaZulu-Natal,Durban Harbor,Fishing,M,16,Leg bitten & surgically amputated,N,02:00,Zambesi shark?,0,zambesi shark,Jan,ZA,AF,-28.8166236,24.991639
1886,2002.01.03,2002,Unprovoked,Brazil,Pernambuco,Candeias,Swimming,Unknown,,FATAL,Y,02:00,Unknown,1,,Jan,BR,SA,-10.3333333,-53.2
1887,2002.01.01,2002,Unprovoked,South Africa,KwaZulu-Natal,Mtunzini,Surfing,M,26,Foot & calf bitten,N,Sunset,Unidentified,0,,Jan,ZA,AF,-28.8166236,24.991639
1888,2002.01.01,2002,Unprovoked,USA,Hawaii,"Olowalu, Maui",Snorkeling,M,35,Lacerations to buttocks & thigh,N,13:00,"Tiger shark, ",0,tiger shark,Jan,US,,39.7837304,-100.445882
1889,2001.12.21,2001,Invalid,Australia,Western Australia,"Honeycombs, 250 km south of Perth",Surfing,M,36,"No injury, 2 m to 2.5 m [6.75'  to 8.25'] shark made a threat display",N,08:30,Unknown,0,,Dec,AU,OC,-24.7761086,134.755
1890,2001.11.23,2001,Unprovoked,Australia,New South Wales,"Flat Rock Beach, Lennox Head",Surfing,M,49,"No Injury, shark hit board",N,08:30,Bronze whaler shark,0,bronze whaler,Nov,AU,OC,-24.7761086,134.755
1891,2001.11.14,2001,Unprovoked,USA,Hawaii,"Kapalua, Maui",Surfing,Unknown,,"No injury, portion of board's lower surface removed",N,17:00,Unknown,0,,Nov,US,,39.7837304,-100.445882
1892,2001.11.07,2001,Invalid,Australia,Western Australia,"Leighton Beach, south of North Cottesloe",Surfing,M,,"No injury, fell off ski after possibly colliding with  a shark",Unknown,17:00,Unknown,0,,Nov,AU,OC,-24.7761086,134.755
1893,2001.10.07,2001,Unprovoked,South Africa,KwaZulu-Natal,Salt Rock ,Kite,M,,No injury,N,17:00,"Mako shark, ",0,mako shark,Oct,ZA,AF,-28.8166236,24.991639
1894,2001.10.02,2001,Unprovoked,Australia,Queensland,200 miles offshore,Snorkeling,F,20,Lacerations to right forearm & shoulder injured,N,13:00,Bronze whaler shark?,0,bronze whaler,Oct,AU,OC,-24.7761086,134.755
1895,2001.09.30,2001,Unprovoked,Mexico,Guerrero,Ixtapa,Surfing,M,26,Hand injured,N,Late morning,"Tiger shark, ",0,tiger shark,Sep,MX,,22.5000485,-100.000037
1896,2001.09.30,2001,Boat,Australia,Queensland,"Moreton Bay, NE of Brisbane ",Unknown,M,31,No injury from shark,N,P.M.,white shark,0,white shark,Sep,AU,OC,-24.7761086,134.755
1897,2001.09.24,2001,Provoked,USA,Florida,"Ponce Inlet, Volusia County","Surfing,&.",M,21,PROVOKED INCIDENT Several small lacerations on left foot ,N,16:20, shark,0,,Sep,US,,39.7837304,-100.445882
1898,2001.09.18,2001,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,14,"1"" to 2"" cuts on right ankle & foot",N,15:00,Unknown,0,,Sep,US,,39.7837304,-100.445882
1899,2001.09.16,2001,Invalid,USA,Florida,"2 miles off Pompano Beach, Broward County",Wreck/,M,42,FATAL or drowning & scavenging,Y,13:20,Questionable incident - shark biteay have precipitated drowning,1,,Sep,US,,39.7837304,-100.445882
1900,2001.09.15,2001,Unprovoked,USA,Florida,A quarter mile north of Fort Pierce Inlet,Boogie,M,6½,"2 lacerations on lower back, punctures on buttock",N,15:00, shark,0,,Sep,US,,39.7837304,-100.445882
1901,2001.09.15,2001,Unprovoked,USA,North Carolina,"North Topsail Beach, Onslow County",Surfing,M,16,Foot bitten,N,13:45,Unknown,0,,Sep,US,,39.7837304,-100.445882
1902,2001.09.13,2001,Provoked,United Kingdom,Cheshire,"Blue Planet Aquarium, Ellesmere Port",Diving,M,,Head bitten by captive shark PROVOKED INCIDENT,N,13:45,sandtiger shark,0,tiger shark,Sep,GB,EU,54.7023545,-3.2765753
1903,2001.09.08,2001,Provoked,USA,Florida,"Everglades National Park, Monroe County",Fishing,M,44,Fingers & leg lacerated  by hooked shark PROVOKED INCIDENT,N,13:45,Unknown,0,,Sep,US,,39.7837304,-100.445882
1904,2001.09.07,2001,Unprovoked,USA,Florida,"Key Biscayne, Dade County",Walking,M,13,Minor injury to left leg,N,18:40,Unknown,0,,Sep,US,,39.7837304,-100.445882
1905,2001.09.07,2001,Invalid,USA,South Carolina,"Waites Island, Horry County",Swimming,F,,Left hand injured,N,18:40,Shark involvement not confirmed,0,,Sep,US,,39.7837304,-100.445882
1906,2001.09.03,2001,Unprovoked,USA,North Carolina,"Avon, Hatteras Island, Outer Banks, Dare County",Swimming,M,28,FATAL,Y,18:00,large white shark was filmed by divers on local wreck days prior the incident.,1,white shark,Sep,US,,39.7837304,-100.445882
1907,2001.09.03,2001,Unprovoked,USA,North Carolina,"Avon, Hatteras Island, Outer Banks, Dare County",Swimming,F,23,Left buttock & foot  severed,N,18:00,large white shark was filmed by divers on local wreck days prior the incident.,0,white shark,Sep,US,,39.7837304,-100.445882
1908,2001.09.02,2001,Unprovoked,USA,Florida,"Mayport Naval Station, Jacksonville, Duval Country",Wading,M,20,Right calf lacerated,N,18:30,shark,0,,Sep,US,,39.7837304,-100.445882
1909,2001.09.01,2001,Unprovoked,USA,Virginia,"Sandbridge Beach, Princess Anne County",Swimming,M,10,"FATAL, thigh bitten ",Y,18:00,bull shark,1,bull shark,Sep,US,,39.7837304,-100.445882
1910,2001.08.31,2001,Unprovoked,Bahamas,Abaco Islands,North of Grand Cay,Spearfishing,M,44,Torso lacerated,N,13:30,bull shark,0,bull shark,Aug,BS,,24.7736546,-78.0000547
1911,2001.08.29,2001,Unprovoked,USA,Florida,"Coquina Beach, Anna Maria Island, Manatee County",Standing,F,29,Punctures & lacerations on elbow & forearm,N,13:30,Unknown,0,,Aug,US,,39.7837304,-100.445882
1912,2001.08.27,2001,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Wading,M,69,Heel lacerated,N,16:20,Unknown,0,,Aug,US,,39.7837304,-100.445882
1913,2001.08.26,2001,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Boogie,M,18,Thigh & foot bitten,N,16:00,Unknown,0,,Aug,US,,39.7837304,-100.445882
1914,2001.08.25,2001,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Boogie,M,18,Upper left thigh & right foot bitten,N,14:00,Unknown,0,,Aug,US,,39.7837304,-100.445882
1915,2001.08.22,2001,Unprovoked,USA,Florida,"Daytona, Volusia County ",Surfing,M,17,Foot lacerated,N,16:20,small shark,0,,Aug,US,,39.7837304,-100.445882
1916,2001.08.21,2001,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,27,Thigh lacerated,N,16:00,Unknown,0,,Aug,US,,39.7837304,-100.445882
1917,2001.08.19,2001,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,32,Cuts on right foot,N,13:14,Unknown,0,,Aug,US,,39.7837304,-100.445882
1918,2001.08.19,2001,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,F,17,Lacerations to lower leg,N,13:06,Unknown,0,,Aug,US,,39.7837304,-100.445882
1919,2001.08.19,2001,Unprovoked,USA,Florida,"Wilbur-by-the-Sea, Volusia County",Surfing,F,17,Left foot lacerated,N,11:20,Unknown,0,,Aug,US,,39.7837304,-100.445882
1920,2001.08.18,2001,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,20,Cuts on right foot,N,12:30,Possibly  blacktip or spinner shark,0,spinner shark,Aug,US,,39.7837304,-100.445882
1921,2001.08.18,2001,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,19,Back of left hand gashed,N,12:05," shark, possibly  blacktip or spinner shark",0,spinner shark,Aug,US,,39.7837304,-100.445882
1922,2001.08.18,2001,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,19,Left ankle bitten,N,10:00,"Blacktip shark,  ",0,blacktip shark,Aug,US,,39.7837304,-100.445882
1923,2001.08.16,2001,Unprovoked,Bahamas,Grand Bahama Island,"High Rock, 25 to 30 miles east of Freeport",Spearfishing,M,43,Calf bitten,N,16:00,bull shark,0,bull shark,Aug,BS,,24.7736546,-78.0000547
1924,2001.08.12,2001,Unprovoked,Thailand,Rayong Province,Laem Mae Pim Beach,Fell,M,21 & ?,Legs bitten,N,16:00,shark,0,,Aug,TH,AS,14.8971921,100.83273
1925,2001.08.05,2001,Unprovoked,USA,South Carolina,"Near 70th Avenue, Myrtle Beach, Horry County",Unknown,F,,Toe bitten,N,16:00,Unknown,0,,Aug,US,,39.7837304,-100.445882
1926,2001.08.04,2001,Unprovoked,Bahamas,Grand Bahama Island,Freeport,Swimming,M,36,"Leg bitten, later surgically amputated above the knee",N,10:20,Unknown,0,,Aug,BS,,24.7736546,-78.0000547
1927,2001.08.03,2001,Boat,Italy,Unknown,Rimini,Fishing,Unknown,,No Injury to occupants,N,10:20,Unknown,0,,Aug,IT,EU,42.6384261,12.674297
1928,2001.07.26,2001,Unprovoked,USA,South Carolina,"Myrtle Beach, Horry County",Unknown,F,,Survived,N,10:20,Unknown,0,,Jul,US,,39.7837304,-100.445882
1929,2001.07.25,2001,Unprovoked,USA,Florida,"Taverniier, Monroe County",Unknown,M,,Minor injury,N,16:00,Unknown,0,,Jul,US,,39.7837304,-100.445882
1930,2001.07.24,2001,Unprovoked,USA,Florida,"Marathon , Monroe County",Unknown,F,,2 bites behind knee,N,16:00,Nurse shark,0,nurse shark,Jul,US,,39.7837304,-100.445882
1931,2001.07.21,2001,Boat,USA,Massachusetts,Chatham Island,Fishing,Unknown,,No Injury to occupants; shark bumped the boat ,N,16:00,"Mako shark, ",0,mako shark,Jul,US,,39.7837304,-100.445882
1932,2001.07.15,2001,Unprovoked,USA,Florida,"Santa Rosa Island, Escambia County",Surfing,M,48,Left foot & heel lacerated,N,14:30,Unknown,0,,Jul,US,,39.7837304,-100.445882
1933,2001.07.15,2001,Unprovoked,USA,Florida,"Amelia Island, Nassau County",Boogie,M,18,Foot lacerated,N,14:30, shark,0,,Jul,US,,39.7837304,-100.445882
1934,2001.07.06,2001,Unprovoked,Mexico,Baja California,Ensenada,Surfing,M,42,Foot bitten,N,20:00,Unknown,0,,Jul,MX,,22.5000485,-100.000037
1935,2001.07.06,2001,Unprovoked,USA,Florida,Gulf Islands National Seashore,Swimming,M,8,"Arm severed, surgically reattached",N,07:30,"Bull shark, ",0,bull shark,Jul,US,,39.7837304,-100.445882
1936,2001.07.03,2001,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County ",Unknown,Unknown,,Hand bitten,N,07:30,Unknown,0,,Jul,US,,39.7837304,-100.445882
1937,2001.07.00,2001,Unprovoked,USA,Georgia,"Jekyll Island, Glynn County",Bathing,M,35,2-inch cut on dorsum of left foot,N,18:30,Unknown,0,,Jul,US,,39.7837304,-100.445882
1938,2001.06.12,2001,Unprovoked,USA,Texas,Padre Island National Seashore,Swimming,M,14,Leg lacerated,N,18:30,shark,0,,Jun,US,,39.7837304,-100.445882
1939,2001.06.10,2001,Provoked,USA,California,Catalina Island,Spearfishing,M,52,"No injury. Shark made threat display, then diver shot the shark PROVOKED INCIDENT",N,09:00,"White shark,  ",0,white shark,Jun,US,,39.7837304,-100.445882
1940,2001.06.09,2001,Invalid,Australia,New South Wales,Lord Howe Island (island group 440 miles northeast of Sydney),Hiking,M,75,Remains recovered from gut of a  3.7 m [12'] tiger shark,Unknown,09:00,Shark involvement prior death was not confirmed,0,,Jun,AU,OC,-24.7761086,134.755
1941,2001.06.03,2001,Unprovoked,USA,South Carolina,"Off 21st Avenue, Isle of Palms, Charleston County",Wading,F,29,3 puncture wounds on each side of her left  hand,N,S:ortly before 13:00, shark,0,,Jun,US,,39.7837304,-100.445882
1942,2001.05.29,2001,Unprovoked,USA,Texas,Galveston Island,Unknown,M,16,Survived,N,S:ortly before 13:00,Unknown,0,,May,US,,39.7837304,-100.445882
1943,2001.05.23 ,2001,Unprovoked,USA,South Carolina,"Coligny Beach, Hilton Head, Beaufort County",Swimming,M,11,Shin lacerated,N,S:ortly before 13:00, shark,0,,May,US,,39.7837304,-100.445882
1944,2001.05.20,2001,Unprovoked,USA,South Carolina,"Fripp Island, Beaufort County",Swimming,M,,5.5-inch laceration on calf,N,19:00,Unknown,0,,May,US,,39.7837304,-100.445882
1945,2001.05.18,2001,Provoked,Philippines,Zamboanga del Sur Province,,Shark,M,24,Arm bitten PROVOKED INCIDENT,N,19:00,Unknown,0,,May,PH,AS,12.7503486,122.7312101
1946,2001.05.11,2001,Invalid,Madagascar,Unknown,Shipwrecked Ferry M/V Samsonnette,Unknown,M,,Fatal or drowned & remains scavenged by shark,Unknown,19:00,Shark involvement prior death was not confirmed,1,,May,MG,AF,-18.9249604,46.4416422
1947,2001.05.08,2001,Unprovoked,South Africa,Eastern Cape Province,East London,Surfing,M,26,Leg bitten,N,19:00,"White shark,  ",0,white shark,May,ZA,AF,-28.8166236,24.991639
1948,2001.05.04,2001,Unprovoked,Australia,New South Wales,Noraville,Surfing,M,33 or 37,"Chest lacerated, surfboard bitten",N,17:45,Unknown,0,,May,AU,OC,Unknown,134.755
1949,2001.05.03,2001,Unprovoked,USA,Florida,"Jacksonville, Duval County",Surfing,M,45,Foot lacerated ,N,19:00, shark,0,,May,US,,39.7837304,-100.445882
1950,2001.05.00,2001,Unprovoked,Fiji,Taveuni,,"Spearfishing,",M,,FATAL,Y,19:00,Unknown,1,,May,FJ,OC,-18.1239696,179.0122737
1951,2001.04.28,2001,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Boogie,M,14,4 small lacerations on lower right leg,N,15:49,Unknown,0,,Apr,US,,39.7837304,-100.445882
1952,2001.04.13,2001,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,16,Foot & ankle lacerated,N,11:00,Unknown,0,,Apr,US,,39.7837304,-100.445882
1953,2001.04.13,2001,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,12,Right foot & ankle lacerated,N,10:55,Possibly juvenile blacktip or spinner shark,0,spinner shark,Apr,US,,39.7837304,-100.445882
1954,2001.04.12,2001,Unprovoked,USA,Florida,"Waveland Beach, Hutchinson Island, St Lucie County",Unknown,M,mid-30s,Right ankle & lower leg lacerated,N,16:00,Unknown,0,,Apr,US,,39.7837304,-100.445882
1955,2001.04.12,2001,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,38,Foot & ankle lacerated,N,16:45,Unknown,0,,Apr,US,,39.7837304,-100.445882
1956,2001.04.12,2001,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,21,Small cuts on big & pinky toes of left foot,N,16:05,Possibly juvenile blacktip or spinner shark,0,spinner shark,Apr,US,,39.7837304,-100.445882
1957,2001.04.12,2001,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,12,Foot & ankle lacerated,N,12:34,Possibly juvenile blacktip or spinner shark,0,spinner shark,Apr,US,,39.7837304,-100.445882
1958,2001.04.12,2001,Unprovoked,USA,Florida,"New Smyrna Beach / Waveland, Volusia County",Surfing,M,22,Foot lacerated,N,11:53,Possibly blacktip or spinner shark,0,spinner shark,Apr,US,,39.7837304,-100.445882
1959,2001.04.11,2001,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,19,Minor cuts on right heel & foot,N,8:04 pm,Possibly juvenile blacktip or spinner shark,0,spinner shark,Apr,US,,39.7837304,-100.445882
1960,2001.04.11,2001,Unprovoked,USA,Florida,"New Smyrna Beach / Waveland, Volusia County",Surfing,M,22,Lacerations to top & bottom of left foot,N,12:46,Unknown,0,,Apr,US,,Unknown,-100.445882
1961,2001.04.11,2001,Unprovoked,USA,Hawaii,"Ewa Beach, O'ahu",Surfing,M,,Minor punctures & lacerations on left hand ,N,07:00,"shark, possibly whitetip reef shark",0,,Apr,US,,39.7837304,-100.445882
1962,2001.04.10,2001,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,Unknown,16,Foot lacerated,N,07:00,Possibly juvenile blacktip or spinner shark,0,spinner shark,Apr,US,,39.7837304,-100.445882
1963,2001.04.08,2001,Unprovoked,South Africa,Eastern Cape Province,Cape St. Francis,Surfing,M,46,"Thigh, hip & buttock bitten",N,09:30,"White shark, ",0,white shark,Apr,ZA,AF,-28.8166236,24.991639
1964,2001.04.08,2001,Provoked,Australia,New South Wales,Bronte Beach,Snorkeling,M,,Wrist lacerated PROVOKED INCIDENT,N,09:30,Wobbegong shark,0,wobbegong shark,Apr,AU,OC,-24.7761086,134.755
1965,2001.04.05,2001,Unprovoked,USA,Florida,"Bethune Beach, south of New Smyrna Beach, Volusia County",Standing,M,26,Minor lacerations to dorsum of left foot,N,14:45,small shark,0,,Apr,US,,39.7837304,-100.445882
1966,2001.04.02,2001,Unprovoked,Brazil,Rio Grande de Norte,"Praia de Camapum, Macau",Batin,F,12,Left thigh bitten,N,14:45,Unknown,0,,Apr,BR,SA,-10.3333333,-53.2
1967,2001.04.02,2001,Unprovoked,Australia,New South Wales,Nambucca River Entrance,Surfing,M,40,Calf bitten,N,10:00,Bronze whaler shark,0,bronze whaler,Apr,AU,OC,-24.7761086,134.755
1968,2001.03.23,2001,Unprovoked,USA,Hawaii,"Sandy Beach, Oahu",Surfing,M,,"Minor cuts on left hand, body board bitten",N,14:40,Unknown,0,,Mar,US,,39.7837304,-100.445882
1969,2001.03.09,2001,Unprovoked,USA,Florida,"Coral Cove Park, Jupiter Island, Martin County",Surfing,M,,Fingers & hand lacerated,N,14:40,"Spinner shark,  ",0,spinner shark,Mar,US,,39.7837304,-100.445882
1970,2001.03.08,2001,Invalid,Brazil,Bahia,Nova Vicosa,Attempting,M,12,Lacerations below the knee,Unknown,14:40,Shark involvement not confirmed,0,,Mar,BR,SA,-10.3333333,-53.2
1971,2001.03.03,2001,Unprovoked,Brazil,Pernambuco,"Boa Viagem Beach, Recife",Swimming,M,20,FATAL,Y,14:40,Unknown,1,,Mar,BR,SA,-10.3333333,-53.2
1972,2001.03.00,2001,Sea Disaster,Caribbean Sea,Unknown,Between St. Maarten & Anguilla,Sinking'.,Unknown,,"Human remains recovered in shark caught off Anguilla, probable scavenging on drowned body",Y,14:40,"Tiger shark,  ",0,tiger shark,Mar,Unknown,Unknown,15.0000001,-75.0000001
1973,2001.02.26,2001,Boat,Australia,Western Australia,Albany (incident took place 200 metres from swimmers),Fishing,Unknown,,No injury to occupants,N,14:40,"White shark,  ",0,white shark,Feb,AU,OC,-24.7761086,134.755
1974,2001.02.11,2001,Invalid,Malaysia,Off the western coast of peninsular Malaysia,Pulau Pangkor (Pangkor Island),Unknown,F,,Bones recovered by fishermen in 300-kg [662-lb] white shark’s gut,Unknown,14:40,Shark involvement prior death was not confirmed,0,,Feb,MY,AS,4.5693754,102.2656823
1975,2001.02.04,2001,Unprovoked,Australia,New South Wales,Broome Head,Surfing,M,40,Leg bitten,N,16:15,"Bronze whaler shark,  k",0,bronze whaler,Feb,AU,OC,-24.7761086,134.755
1976,2001.01.24,2001,Boat,Australia,New South Wales,South West Rocks,Kayaking,M,35,"No injury, shark rammed & bit kayak",N,16:15,shark,0,,Jan,AU,OC,-24.7761086,134.755
1977,2001.01.24,2001,Unprovoked,Cuba,Holquin Province,Off Blau Costa Verde resort,Swimming,F,55,Left arm bitten,N,16:15,shark,0,,Jan,CU,,23.0131338,-80.8328748
1978,2001.01.21 ,2001,Boat,Australia,South Australia,Adelaide,Fishing,Unknown,,No injury to occupants,N,16:15,"White shark, ",0,white shark,Jan,AU,OC,-24.7761086,134.755
1979,2001.01.09,2001,Unprovoked,USA,California,"Sunset Cliffs, San Diego",Surfing,M,,"Foot bruised, board dinged",N,16:15, black finned shark,0,,Jan,US,,39.7837304,-100.445882
1980,2001.01.06,2001,Boat,New Zealand,North Island,Sandy Bay/Whananaki,Kayaking,M,,"No injury, kayak bitten",N,16:15,White shark,0,white shark,Jan,NZ,OC,-41.5000831,172.8344077
1981,2000.12.24,2000,Unprovoked,Australia,Queensland,Flinders Cay,Diving,M,23,Hand bitten,N,16:15,Unknown,0,,Dec,AU,OC,-24.7761086,134.755
1982,2000.12.12,2000,Unprovoked,Fiji,Taveuni,Garden Island Resort,Swimming,M,47,"FATAL, leg severed ",Y,14:30,shark,1,,Dec,FJ,OC,-18.1239696,179.0122737
1983,2000.12.11,2000,Boat,Australia,South Australia,"3 km off Port Victoria, Yorke Peninsula",Fishing,Unknown,,No injury to occupants,N,14:30,"White shark, ",0,white shark,Dec,AU,OC,-24.7761086,134.755
1984,2000.12.05,2000,Unprovoked,Canada,New Brunswick,Bay of Fundy,Diving,M,30,No injury,N,14:30,"Porbeagle shark, rk",0,,Dec,CA,,61.0666922,-107.991707
1985,2000.12.03,2000,Unprovoked,Australia,Queensland,"Sykes Reef, Great Barrier Reef",Spearfishing,M,38,Left elbow and forearm bitten,N,09:30,"Bronze whaler shark, ",0,bronze whaler,Dec,AU,OC,-24.7761086,134.755
1986,2000.12.00,2000,Unprovoked,New Zealand,Cook Islands,"Arorangi, Rarotonga",Surfing,F,,FATAL,Y,09:30,Unknown,1,,Dec,NZ,OC,-41.5000831,172.8344077
1987,2000.11.21,2000,Unprovoked,Australia,Queensland,Orpheus Island,Diving(shell),M,28,"No injury, wetsuit & swimfin torn",N,09:30,"Tiger shark, ",0,tiger shark,Nov,AU,OC,-24.7761086,134.755
1988,2000.11.20,2000,Invalid,Australia,South Australia,Ceduna,Shipwrecked,M,47,"Missing, thought to have been taken by a shark",Unknown,09:30,Shark involvement not confirmed,0,,Nov,AU,OC,-24.7761086,134.755
1989,2000.11.18,2000,Unprovoked,USA,Florida,"Bonita Springs, Lee County",Swimming,M,73,Right calf lacerated,N,12:00, shark,0,,Nov,US,,39.7837304,-100.445882
1990,2000.11.10,2000,Invalid,USA,Florida,"Vaughn Beach, Flagler County",Walking,F,27,No injury,Unknown,12:00,Invalid,0,,Nov,US,,39.7837304,-100.445882
1991,2000.11.06,2000,Unprovoked,Australia,Western Australia,"Cottesloe Beach, Perth",Swimming,M,52,Leg & feet lacerated,N,06:30,"White shark, ",0,white shark,Nov,AU,OC,-24.7761086,134.755
1992,2000.11.06,2000,Unprovoked,Australia,Western Australia,"Cottesloe Beach, Perth",Swimming,M,49,"FATAL, torso bitten, leg severed ",Y,06:30,"White shark,  ",1,white shark,Nov,AU,OC,-24.7761086,134.755
1993,2000.11.04,2000,Unprovoked,USA,California,"1/4 to 1/2 m north of the jetty at Bunkers, Eureka, Humboldt County",Surfing,M,27,Both thighs bitten,N,16:30,"White shark,  ",0,white shark,Nov,US,,39.7837304,-100.445882
1994,2000.10.29,2000,Boat,Australia,Queensland,Peel Island,Fishing,Unknown,31,"No Injury to occupant, shark holed and sank boat",N,22:00,White shark,0,white shark,Oct,AU,OC,-24.7761086,134.755
1995,2000.10.20,2000,Unprovoked,USA,Florida,"Fort Pierce Inlet State Park, St Lucie County",Surfing,M,23,Leg lacerated,N,18:00,Unknown,0,,Oct,US,,39.7837304,-100.445882
1996,2000.10.18,2000,Unprovoked,USA,Hawaii,Olowalu,Swimming/,F,56,Right side of back / torso lacerated,N,11:20,"Tiger shark,  ",0,tiger shark,Oct,US,,39.7837304,-100.445882
1997,2000.10.14,2000,Unprovoked,USA,Florida,"South Beach, Sebastian, Indian River County",Swimming,M,69,Right hand lacerated,N,15:30,Unknown,0,,Oct,US,,39.7837304,-100.445882
1998,2000.10.09,2000,Unprovoked,USA,Florida,"Lake Worth Inlet/West Palm Beach, Palm Beach County",Surfing,M,17,Foot lacerated,N,08:30, shark,0,,Oct,US,,39.7837304,-100.445882
1999,2000.10.06,2000,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,23,Fingers lacerated,N,14:30,"Blacktip shark,  ",0,blacktip shark,Oct,US,,39.7837304,-100.445882
2000,2000.10.06,2000,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,11,Right foot & heel lacerated,N,12:48,Unknown,0,,Oct,US,,39.7837304,-100.445882
2001,2000.10.02,2000,Unprovoked,USA,North Carolina,"Wrightsville Beach, New Hanover County",Surfing,M,24,Upper left arm lacerated,N,16:30,Unknown,0,,Oct,US,,39.7837304,-100.445882
2002,2000.09.29,2000,Unprovoked,USA,California,"Mavericks, Half Moon Bay, San Mateo County",Sitting,M,,No injury,N,09:00,"White shark, ",0,white shark,Sep,US,,39.7837304,-100.445882
2003,2000.09.25,2000,Unprovoked,Australia,South Australia,"Black Point, Eyre Peninsula",Surfing,M,17,FATAL,Y,13:00,White shark,1,white shark,Sep,AU,OC,-24.7761086,134.755
