,Unnamed: 0,Case_Number,Year,Type,Country,Area,Location,Activity,Sex,Age,Injury,Fatal,Time,Species
929,929,2011.04.23,2011,Unprovoked,AUSTRALIA,Western Australia,Red Bluffs,Washing,M,17,Heel bitten,N,15:00,"reef shark, "
930,930,2011.04.22,2011,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,49,Minor puncture wounds,N,15:30, shark
931,931,2011.04.16,2011,Unprovoked,NEW ZEALAND,South Island,Snapper Point,Surfing,M,41,Puncture to left hand,N,18:30,possibly bronze whaler shark
932,932,2011.04.12,2011,Unprovoked,INDONESIA,Bali,Balian,Surfing,M,,Lacerations to forearm,N,08:30," Bull shark,"
933,933,2011.04.08,2011,Unprovoked,FIJI,Vitu Levu,"Malake Island, Ra Province",Diving,M,27,Minor injuries to left leg and hand,N,18:30,Unknown
934,934,2011.03.29,2011,Provoked,USA,Texas,Matagorda Beach,"Standing,",M,,Minor laceration to shoulder from captive shark PROVOKED INCIDENT,N,18:30,Blacktip shark pup
935,935,2011.03.24,2011,Unprovoked,MEXICO,Quintana Roo,"Gaviotas Beach, Cancun",Swimming,F,,Lower leg & foot bitten,N,18:30,Bull shark
936,936,2011.03.23,2011,Unprovoked,AUSTRALIA,New South Wales,Crowdy Head,Surfing,M,48,Severe injury to left forearm,N,17:45,"Bull shark, "
937,937,2011.03.21,2011,Unprovoked,MEXICO,Quintana Roo,,Swimming,M,46,Right foot bitten,N,17:45,Unknown
938,938,2011.03.21,2011,Unprovoked,FIJI,Unknown,Nukudamu ,Diving/,M,30,"Left forearm severely bitten, surgically amputated",N,16:00,Unknown
939,939,2011.03.16,2011,Unprovoked,AUSTRALIA,New South Wales,"Jimmys Beach, Port Stephens",Wakeboarding,F,24,"Severe injuries to head, neck, shoulder & upper left arm",N,13:00,shark
940,940,2011.03.10,2011,Invalid,EGYPT,South Sinai Peninsula,Sharm-el-Sheikh,Unknown,F,,"Apparent drowning, and subsequent scavenging by 16' tiger shark",Unknown,13:00,Unknown
941,941,2011.03.10,2011,Unprovoked,AUSTRALIA,New South Wales,"Tallow Beach, Byron Bay",Surfing,M,,"No injury, surboard broken",N,13:00,Unknown
942,942,2011.02.28,2011,Provoked,AUSTRALIA,Queensland,Between ,Fishing,M,36,Lacerations to right hand by hooked shark PROVOKED INCIDENT,N,10:45,"Bull shark, "
943,943,2011.02.23,2011,Unprovoked,NEW CALEDONIA, Loyalty Islands,"Bay of Bweedro, Ouvéa",Spearfishing,M,21,Lacerations to left forearm,N,18:00,shark
944,944,2011.02.19,2011,Unprovoked,REUNION,Saint Gilles ,Trois-Roches,Surfing,M,32,Left leg severed at the knee,N,18:30,Unknown
945,945,2011.02.17,2011,Unprovoked,AUSTRALIA,South Australia,Off Perforated Island near Coffin Bay,Diving,M,49,FATAL,Y,18:20,White shark x 2
946,946,2011.02.13,2011,Provoked,AUSTRALIA,Queensland,Sunshine Beach,Fishing,M,,Lacerations to calf by hooked shark PROVOKED INCIDENT,N,10:40,shark
947,947,2011.02.12,2011,Unprovoked,AUSTRALIA,Western Australia,Exmouth,Snorkeling,M,58,Arm bitten,N,19:30,Unknown
948,948,2011.02.04,2011,Provoked,MEXICO,Colima,"Manzanillo, Revillagigedo Islands",Shark,M,,Left foot bitten PROVOKED INCIDENT,N,19:30,Unknown
949,949,2011.02.02,2011,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Sundays River Mouth, Port Elizabeth",Surfing,M,37,Right leg bitten,N,19:30,Unknown
950,950,2011.01.31,2011,Unprovoked,MEXICO,Quintana Roo,Cancun,Swimming,F,38,"Leg, forearm & hand severely bitten",N,12:00, shark
951,951,2011.01.28,2011,Provoked,MEXICO,Colima,Revillagigedo Islands,Shark.,M,25,Left eg bitten PROVOKED INCIDENT,N,12:00,Unknown
952,952,2011.01.26,2011,Unprovoked,BAHAMAS,West End,Tiger Beach,Diving,M,55,Arm bitten ,N,15:00,Caribbean reef shark
953,953,2011.01.20,2011,Invalid,AUSTRALIA,New South Wales,Cudgen Creek ,Swimming,F,7,Lacerations to both legs,Unknown,17:00,Shark involvement not confirmed
954,954,2011.01.15,2011,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Second Beach, Port St. John's",Surfing,M,16,FATAL,Y,12:30,Unknown
955,955,2011.01.12,2011,Unprovoked,MEXICO,Quintana Roo,Xcalak ,Attempting,M,37,Bitten on leg and groin,N,12:30,Unknown
956,956,2011.01.03,2011,Boat,AUSTRALIA,Western Australia,Busselton,Fishing,Unknown,,"No injury, shark nudged boat and bit propeller",N,12:00,White shark
957,957,2010.12.26,2010,Unprovoked,USA,Hawaii," Kahului, Maui",Surfing,M,16,"Lacerations to his lower left leg, calf, foot & ankle",N,15:35, shark
958,958,2010.12.17,2010,Unprovoked,FIJI,Vitu Levu,Sigatoka,Surfing,M,,Lacerations to  foot,N,AM,Unknown
959,959,2010.12.11,2010,Unprovoked,USA,Hawaii,"Tavares Bay, Maui",Surfing,M,46,Lacerations to right foot,N,13:51,Unknown
960,960,2010.12.05,2010,Unprovoked,EGYPT,South Sinai Peninsula,"Middle Garden, Sharm el-Shiekh",Snorkeling,F,70,FATAL,Y,12:00,"Oceanic whitetip shark,  "
961,961,2010.12.03,2010,Unprovoked,INDONESIA,Bali,Balian,Surfing,M,,Lacerations to right hand,N,12:00,Unknown
962,962,2010.12.01,2010,Unprovoked,EGYPT,South Sinai Peninsula,"Ras Nasrani, Sharm el-Sheikh",Snorkeling,M,54,Both arms severely bitten,N,11:00,Mako shark 
963,963,2010.12.01,2010,Unprovoked,EGYPT,South Sinai Peninsula,"Ras Nasrani, Sharm el-Sheikh",Snorkeling,M,46,Lacerations to right leg,N,10:55,Mako shark
964,964,2010.11.30,2010,Unprovoked,EGYPT,South Sinai Peninsula,"Coral Bay, Sharm el-Sheikh",Snorkeling,F,70,"Foot severed, Right forearm severed, lacerations to left hand (defense wounds)",N,14:55,"Oceanic whitetip shark, , female"
965,965,2010.11.30,2010,Unprovoked,EGYPT,South Sinai Peninsula,"Coral Bay, Sharm el-Sheikh",Snorkeling,F,48,Foot and arm bitten,N,14:40,"Oceanic whitetip shark, , female"
966,966,2010.11.27,2010,Unprovoked,SAMOA,Unknown,,Fishing,M,47,Serious wounds to chest,N,08:30,Unknown
967,967,2010.11.27,2010,Invalid,AUSTRALIA,Western Australia,Native Dog Beach,Swimming,M,,Death may have been due to drowning,Unknown,08:30,Shark involvement not confirmed
968,968,2010.11.19,2010,Provoked,USA,Palmyra Atoll,,Snorkeling,M,33,Head bitten by netted shark PROVOKED INCIDENT,N,13:30,Unknown
969,969,2010.11.15,2010,Unprovoked,DOMINICAN REPUBLIC,Unknown,Boca Chica,Diving,M,21,FATAL,Y,08:30,Unknown
970,970,2010.11.14,2010,Unprovoked,INDONESIA,Bali,Balian,Surfing,M,,Hand bitten ,N,08:30,Unknown
971,971,2010.11.12,2010,Boat,AUSTRALIA,Western Australia,Between Carnac and Garden Islands,Fishing,M,,No injury to occupant. Shark rammed bottom of the boat,N,21:30,White shark
972,972,2010.10.30,2010,Unprovoked,AUSTRALIA,Western Australia,Off Garden Island,Snorkeling,F,20,Torso and left buttock bitten,N,12:30,White shark
973,973,2010.10.28,2010,Unprovoked,AUSTRALIA,Western Australia,Cheynes Beach,Spearfishing,M,,"No injury, shark head-butted diver's thigh",N,12:30,Unknown
974,974,2010.10.28,2010,Unprovoked,USA,Oregon,Florence,Surfing,M,,No injury to surfer,N,15:20,Unknown
975,975,2010.10.25,2010,Provoked,AZORES,Unknown,350 miles from Faial Island,Fishing,M,,PROVOKED INCIDENT?  ,N,15:20,Unknown
976,976,2010.10.23,2010,Unprovoked,USA,Maine,"Burnt Cove near Eastport, Washington County",Diving,M,30,"No injury to diver, shark bit his video camera",N,18:30,"Porbeagle shark,  "
977,977,2010.10.23,2010,Unprovoked,AUSTRALIA,Western Australia,Wedge Island,Kite,M,14,Lacerations to lower right leg,N,18:30,Unknown
978,978,2010.10.22,2010,Unprovoked,USA,California,"Surf Beach, Vandenberg AFB, Santa Barbara County",Surfing,M,19,FATAL,Y,08:50,"White shark, "
979,979,2010.10.20,2010,Unprovoked,EGYPT,South Sinai Peninsula,Sharm el-Sheikh ,Snorkeling,F,,Multiple lacerations to left leg and foot,N,A.M.,Unknown
980,980,2010.10.09,2010,Unprovoked,AUSTRALIA,New South Wales,Mullaway Headland,Surfing,M,22,Foot bitten,N,13:30,"Bull shark,  "
981,981,2010.10.02,2010,Unprovoked,BAHAMAS,Exuma Islands,,Snorkeling,M,,Calf bitten,N,13:30,Lemon shark
982,982,2010.10.02,2010,Unprovoked,BAHAMAS,Abaco Islands,Elbow Cay,Surfing,F,,Bitten between left ankle & knee,N,15:00,Possibly  lemon shark
983,983,2010.10.01,2010,Unprovoked,SOUTH AFRICA,Western Cape Province,"Melkbaai, Strand",Surfing,M,Teen,3 lacerations to foot,N,14:30,Unknown
984,984,2010.09.27,2010,Unprovoked,USA,Oregon,Winchester Bay,Surfing,M,29,"No injury, surfboard rammed",N,16:00,White shark
985,985,2010.09.24,2010,Unprovoked,USA,Virginia,Sandridge Beach,Surfing,M,18,Bite to left ankle and knee,N,16:30,Unknown
986,986,2010.09.21,2010,Unprovoked,SOUTH AFRICA,Western Cape Province,Between Dyer Island and Pearly Beach,Swimming,M,29,FATAL,Y,16:30,White shark
987,987,2010.09.13,2010,Unprovoked,AUSTRALIA,New South Wales,Fraser's Reef,Surfing,M,15,Lacerations and puncture wounds to leg and foot,N,17:00, shark
988,988,2010.09.07,2010,Unprovoked,USA,Florida,"St. Augustine, St. John's County",Swimming,M,27,Lacerations to left wrist,N,17:00, shark
989,989,2010.09.06,2010,Unprovoked,TONGA,Ha'api ,,Swimming/,M,24,Puncture wounds to right foot,N,12:00,Unknown
990,990,2010.09.04,2010,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,,"No injury, shark charged surfboard",N,12:00,Unknown
991,991,2010.09.03,2010,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,24,Lacerations to right  hand ,N,12:00,Unknown
992,992,2010.09.03,2010,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,24,Left thigh bitten,N,09:00,Unknown
993,993,2010.09.02,2010,Unprovoked,SOLOMON ISLANDS,Western Province,,Unknown,M,34,Lacerations to face and neck,N,09:00,Unknown
994,994,2010.08.29,2010,Invalid,BAHAMAS,Exuma Islands,"Off Jaws Beach, New Providence Island",Swimming,M,43,"His partial remains were recovered from a 12' tiger shark on September 5, 2010. Cause of death was thought to be drowning",Unknown,09:00,Shark involvement prior death was not confirmed
995,995,2010.08.18,2010,Unprovoked,USA,Florida,Crescent Beach St. Johns County,Boogie,M,10,Minor injuries to foot,N,09:00,Unknown
996,996,2010.08.17,2010,Unprovoked,AUSTRALIA,Western Australia,Cowaramup Bay,Surfing,M,31,FATAL,Y,08:05,White shark
997,997,2010.08.14,2010,Boat,USA,California,"Pigeon Point, San Mateo County",Kayaking,M,45,"No injury, kayak bitten",N,08:05,White shark
998,998,2010.08.10,2010,Provoked,AUSTRALIA,Queensland,"Three Mile Creek, Townsville",Fishing,F,,Leg bitten by hooked shark PROVOKED INCIDENT,N,19:00,Unknown
999,999,2010.08.10,2010,Unprovoked,SOUTH KOREA,Jeju Province,Jeju Island,Swimming,F,16,Lacerations to left lower leg,N,19:30,Unknown
1000,1000,2010.08.08,2010,Unprovoked,AUSTRALIA,New South Wales,Crescent Head,Surfing,M,47,Left foot bitten,N,08:00,Unknown
1001,1001,2010.08.07,2010,Unprovoked,USA,North Carolina,"Figure Eight Island, Wilmington, New Hanover County",Surfing,M,25,Left foot bitten,N,15:00,Unknown
1002,1002,2010.08.07,2010,Unprovoked,MALTA,Unknown,"Off Fort St. Elmo, Valetta",Surfing,M,35,"No injury, sail bitten",N,15:00,shark
1003,1003,2010.08.05,2010,Invalid,USA,Florida,"Bethune Beach, Volusia County",Swimming,F,,Minor abrasions to legs when she was lifted on the back of a large marine animal,Unknown,19:15,Shark involvement not confirmed
1004,1004,2010.08.02,2010,Boat,USA,California,"Near oil rig Hondo, 5 nm from Gaviota, Santa Barbara County",Kayaking,M,,"No injury, kayak bitten",N,12:40,"White shark, '"
1005,1005,2010.08.02,2010,Unprovoked,USA,Florida,"Micklers Landing, St. Johns County",Standing,F,37,Lacerations to forearm,N,11:00, shark
1006,1006,2010.07.25,2010,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County",Standing,M,16,Lacerations to right lower leg,N,11:00, shark
1007,1007,2010.07.23,2010,Unprovoked,USA,Florida,"Jacksonville Beach, Duval County",Surfing,M,20,Left foot bitten,N,16:30,Unknown
1008,1008,2010.07.19,2010,Unprovoked,USA,South Carolina,Myrtle Beach,Swimming,M,10,Minor lacerations to left calf,N,10:35,Possibly small blacktip shark
1009,1009,2010.07.17,2010,Unprovoked,USA,North Carolina,"Wrightsville Beach, New Hanover County",Swimming,F,13,Lacerations to right forearm,N,13:30,"Sandtiger shark,  "
1010,1010,2010.07.17,2010,Unprovoked,USA,Florida,New Smyrna Beach,Surfing,M,55,Minor lacerations to right foot,N,13:30,small spinner shark
1011,1011,2010.07.16,2010,Provoked,SPAIN,Grand Canary Island,"Sardina del Norte, Gáldar",Swimming,M,9,Lacerations to left foot when he stepped on the shark PROVOKED INCIDENT,N,19:15,Angel shark
1012,1012,2010.07.16,2010,Unprovoked,USA,Texas,Galveston,Fishing,M,,Leg bitten,N,19:15,Unknown
1013,1013,2010.07.11,2010,Provoked,USA,Florida,"Lauderdale-by-the-Sea, Broward County",Fishing,M,,Small laceration to forearm from netted shark  PROVOKED INCIDENT,N,19:15,"Nurse shark, juvenile "
1014,1014,2010.07.04,2010,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"Two Mile Reef, Sodwana Bay",Snorkeling,F,21,Left leg bitten,N,19:15,Unknown
1015,1015,2010.07.03,2010,Provoked,USA,New York,Off Long Island,Fishing,M,20,Laceration to right bicep by hooked shark PROVOKED INCIDENT,N,12:30,"Blue shark, "
1016,1016,2010.07.02,2010,Unprovoked,USA,California,"Pismo Beach, San Luis  Obispo County",Surfing,M,19,Laceration to left foot,N,20:00, shark
1017,1017,2010.07.02,2010,Unprovoked,USA,California,"Dog Patch, San Onofre",Stand,M,48,"No injury, board bumped by shark",N,15:15, shark
1018,1018,2010.06.27,2010,Unprovoked,USA,Texas,"Eight Mile Beach, Galveston",Surfing,M,20,Lacerations to right foot,N,15:15,"Bull shark, "
1019,1019,2010.06.25,2010,Unprovoked,USA,South Carolina,Fripp Island,Boogie,F,6,Laceration to leg,N,15:15,Unknown
1020,1020,2010.06.25,2010,Unprovoked,USA,North Carolina,"Topsail Island, Pender County",Swimming,F,13,Laceration to left foot,N,13:00,Unknown
1021,1021,2010.06.15,2010,Unprovoked,VIETNAM,Binh Dinh Province,Quy Nhon ,Swimming,M,17,Laceration to left foot,N,17:00,shark
1022,1022,2010.06.10,2010,Unprovoked,USA,Florida,Jacksonville,Boogie,F,18,Lacerations to left calf and foot,N,12:30, shark
1023,1023,2010.06.06,2010,Unprovoked,AUSTRALIA,Western Australia,"Conspicuous Beach, near Walpole",Surfing,M,40,Severe laceration to right knee,N,12:00,Unknown
1024,1024,2010.06.00,2010,Unprovoked,USA,Florida,"Ponte Vedra Beach, St Johns County",Surfing,M,20,Lacerations to left foot,N,12:00,Unknown
1025,1025,2010.05.30,2010,Provoked,USA,Florida,Off Tarpon Springs,Fishing,M,49,Laceration to left calf by hooked shark PROVOKED INCIDENT,N,08:45,"Lemon shark, "
1026,1026,2010.05.18,2010,Unprovoked,VIETNAM,Binh Dinh Province,Quy Nhon ,Rescuing,F,58,Minor laceration to leg,N,18:00, shark
1027,1027,2010.05.18,2010,Unprovoked,VIETNAM,Binh Dinh Province,Quy Nhon ,Swimming,F,60,Severe lacerations to left foot,N,18:00, shark
1028,1028,2010.05.18,2010,Unprovoked,AUSTRALIA,New South Wales,Point Plomer,Surfing,M,,Superficial lacerations to lower left leg,N,16:30,Unknown
1029,1029,2010.05.03,2010,Unprovoked,MADAGASCAR,Antsiranana Province," Ambatolaoka, Nosy Be Island",Diving,M,59,Lacerations to arm & chest,N,09:30,Unknown
1030,1030,2010.05.01,2010,Unprovoked,USA,Florida,New Smyrna Beach,Wading,F,10,Minor puncture wounds to right ankle,N,10:30, shark
1031,1031,2010.04.28,2010,Provoked,USA,Florida,Hanalei Bay,Measuring,M,29,Arm bitten PROVOKED INCIDENT ,N,18:30,"Lemon shark, "
1032,1032,2010.04.19,2010,Unprovoked,USA,Hawaii,"Hanalei Bay, Kauai",Surfing,M,68,"No injury, surfboard bitten",N,16:00,shark
1033,1033,2010.04.13,2010,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"East Beach, Port Alfred",Surfing,M,35,Both feet bitten,N,10:00,shark
1034,1034,2010.04.04,2010,Unprovoked,EGYPT,Sinai Peninsula,Sharm el-Sheikh ,Swimming/,M,24,Lacerations to left ankle and foot,N,14:00,"Oceanic whitetip shark, "
1035,1035,2010.03.27,2010,Unprovoked,REUNION,Saint-Benoit,Bittern,Surfing,M,34,"No injury, board bitten",N,11:00,shark
1036,1036,2010.02.19,2010,Unprovoked,NEW ZEALAND,South Island,Tahunanui Beach,Swimming,M,,Bruised but otherwise unhurt,N,21:30,Possibly blue shark
1037,1037,2010.02.16,2010,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Yellow Sands Point,Surfing,M,,Lacerations to right leg,N,11:00,shark
1038,1038,2010.02.15,2010,Unprovoked,FIJI,Off Vanua Levu,Nara Reef,Diving,M,19,FATAL,Y,09:30,Unknown
1039,1039,2010.02.13,2010,Unprovoked,AUSTRALIA,Queensland,"Dent Island, Whitsundays",Snorkeling,F,60,Lacerations to legs & buttocks,N,13:30,shark
1040,1040,2010.02.11,2010,Unprovoked,AUSTRALIA,New South Wales,"Mona Vale Beach, Sydney",Surfing,M,46,"Minor injury, lacerations to left lower leg",N,08:00,"Wobbegong shark, "
1041,1041,2010.02.06,2010,Provoked,NEW ZEALAND,South Island,Cosy Nook,Spearfishing,M,,"No injury, shark bit his speargun after he used it to prod the shark PROVOKED INCIDENT",N,08:00,shark
1042,1042,2010.02.06,2010,Unprovoked,AUSTRALIA,New South Wales,Turners' Beach,Surfing,M,18,"No injury, shark & board collided",N,15:30,"White shark, "
1043,1043,2010.02.06,2010,Provoked,USA,Florida,Riviera Beach,Surfing/,M,,Leg bitten while trying to free a hooked shark PROVOKED INCIDENT,N,15:00,"Spinner shark, "
1044,1044,2010.02.04,2010,Invalid,GUAM,Merizo,Achang Reef,Spearfishing(free),M,31,Shark bites were post-mortem,Unknown,11:00,Invalid
1045,1045,2010.02.03,2010,Unprovoked,USA,Florida,"Stuart, Martin County",Kite,M,38,FATAL,Y,15:44,Unknown
1046,1046,2010.02.01,2010,Provoked,NEW ZEALAND,South Island,Oreti Beach,Boogie,F,14,Stepped on shark PROVOKED INCIDENT,N,18:30,shark
1047,1047,2010.01.30,2010,Unprovoked,BRAZIL,Rio Grande Do Sul,"Atlantis Beach, near Tramandai",Surfing,M,29,Foot bitten,N,18:30,Thought involve juvenile hammerhead shark
1048,1048,2010.01.27,2010,Unprovoked,AUSTRALIA,Queensland,Archie's Beach,Surfing,M,,"No injury, surfboard bitten",N,16:30,Unknown
1049,1049,2010.01.22,2010,Unprovoked,UNITED ARAB EMIRATES (UAE),Dubai,"Umm Suqeim Beach, Dubai",Surfing,M,54,Laceration to bottom of foot,N,20:00,Unknown
1050,1050,2010.01.22,2010,Unprovoked,AUSTRALIA,Victoria,Geelong,Surfing,M,,Lacerations to right hand ,N,07:30,Unknown
1051,1051,2010.01.12,2010,Unprovoked,SOUTH AFRICA,Western Province,Fish Hoek,Standing,M,37,FATAL,Y,15:15,White shark
1052,1052,2010.01.09,2010,Unprovoked,AUSTRALIA,Torres Strait,Thursday Island,Snorkeling,F,9,2 sets of minor lacerations below her right knee,N,15:15,"Whitetip reef shark, "
1053,1053,2010.01.09,2010,Unprovoked,VIETNAM,Binh Dinh Province,Quy Nhon ,Unknown,F,,Minor injuries,N,15:15,Unknown
1054,1054,2010.01.09,2010,Unprovoked,VIETNAM,Binh Dinh Province,Quy Nhon ,Unknown,M,,Right wrist bitten,N,17:00,Unknown
1055,1055,2010.01.09,2010,Unprovoked,VIETNAM,Binh Dinh Province,Quy Nhon ,Bathing,M,,Left arm bitten twice,N,06:45,Unknown
1056,1056,2010.01.06,2010,Unprovoked,USA,Florida,Elliot Key,Spearfishing,M,32,Lacerations to  arm,N,10:15,Unknown
1057,1057,2010.01.05,2010,Unprovoked,SOUTH AFRICA,Eastern Province,"Nahoon, East London",Surfing,M,,"No injury, reportedly knocked of his board by a shark",N,10:15,Unknown
1058,1058,2009.12.29,2009,Unprovoked,SOUTH AFRICA,Eastern Cape  Province,Port Alfred,Wading,M,20,Lacerations to  left foot,N,08:30,Unknown
1059,1059,2009.12.26,2009,Provoked,AUSTRALIA,New South Wales,Avoca Beach,Swimming,M,55,Lacerations to lower left leg after stepping on the shark                 PROVOKED INCIDENT,N,11:00,Unknown
1060,1060,2009.12.22,2009,Unprovoked,MOZAMBIQUE,Maputo Province,Ponta do Ouro,Swimming,M,27,Multiple lacerations to right torso & arm. Defense wounds on  hands,N,16:30,"Zambesi shark,  "
1061,1061,2009.12.20,2009,Boat,AUSTRALIA,Queensland,Mudjimba Island,Kayaking,M,,"No injury to occupants, kayak bumped by shark",N,11:00,Unknown
1062,1062,2009.12.20,2009,Unprovoked,AUSTRALIA,Queensland,Lamont Reef,Spearfishing,M,18,Lacerations to hand & forearm,N,07:30,"Bull shark, "
1063,1063,2009.12.18,2009,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Second Beach, Port St. Johns",Surfing,M,22,FATAL,Y,14:30,Unknown
1064,1064,2009.12.18,2009,Invalid,SOUTH AFRICA,KwaZulu-Natal,"North Beach, Durban",Surfing,M,,"Minor lacerations to left leg. nitially reported as a shark bite, but involved a barracuda",Unknown,14:30,No shark involvement
1065,1065,2009.12.16,2009,Unprovoked,NEW ZEALAND,South Island,Clark Island,Swimming,M,24,FATAL,Y,14:30,"White shark, "
1066,1066,2009.12.13,2009,Unprovoked,AUSTRALIA,New South Wales,Coffee Head,Surfing,M,39,Laceration to big toe,N,07:00,Unknown
1067,1067,2009.12.12,2009,Boat,AUSTRALIA,New South Wales,Hawks Nest Beach,Rowing,Unknown,,No injury to occupants; shark bit steering oar,N,07:30,White shark
1068,1068,2009.12.06,2009,Provoked,USA,New Jersey,"Adventure Aquarium, Camden",Diving,M,58,Lacerations & puncture wounds to right calf & ankle when diver accidentally backed into the shark  PROVOKED INCIDENT,N,13:00,"Sandtiger shark, "
1069,1069,2009.11.25,2009,Invalid,USA,California,"Huntington Beach, Orange County",Surfing,M,49,Puncture wounds to right foot,Unknown,15:30,Shark involvement not confirmed
1070,1070,2009.11.24,2009,Unprovoked,USA,Florida,"Lori Wilson Park, Cocoa Beach, Brevard County",Wading,M,10,Left foot bitten,N,08:30, shark
1071,1071,2009.11.16,2009,Unprovoked,USA,California,"Loch Lomond, Marin County",Fishing,M,31,Puncture wounds and minor lacerations to dorsal surface of his left hand,N,16:45,Thresher shark
1072,1072,2009.11.16,2009,Unprovoked,USA,Florida,"Jupiter, Palm Beach County",Surfing,M,22,Foot bitten,N,09:30,Unknown
1073,1073,2009.11.13,2009,Unprovoked,USA,Florida,"Jupiter, Palm Beach County",Surfing,F,27,Foot bitten,N,16:30,Unknown
1074,1074,2009.11.11,2009,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,18,Foot bitten,N,18:30, shark
1075,1075,2009.11.08,2009,Unprovoked,AUSTRALIA,South Australia,Second Valley,Kayaking,M,25,Ankle bitten,N,10:30,shark
1076,1076,2009.11.05,2009,Unprovoked,USA,California,"Davenport, Santa Cruz County",Surfing,M,21,"No injury, board broken in half",N,07:30,Unknown
1077,1077,2009.10.30,2009,Boat,AUSTRALIA,Victoria,Portland,Kayaking,M,27,"No injury, shark bit kayak",N,08:30,"White shark, "
1078,1078,2009.10.29,2009,Unprovoked,MOZAMBIQUE,Inhambane Province,Off Vilanculo,Spearfishing,M,,Left ankle & foot bitten,N,08:30,Zambesi shark
1079,1079,2009.10.28,2009,Unprovoked,AUSTRALIA,New South Wales,Lennox Heads,Surfing,F,17,"No injury, shark bit rear of paddleboard",N,07:00,Unknown
1080,1080,2009.10.24,2009,Unprovoked,USA,California,"San Onofre, San Diego County ",Surfing,M,,"3 puncture wounds to big toe of left foot, and laceration on arch of foot",N,17:30,Unknown
1081,1081,2009.10.19,2009,Unprovoked,USA,Hawaii,"Kalama Park, Maui",Surfing,M,54,Bitten on upper right thigh & right ankle,N,06:00, shark
1082,1082,2009.10.18,2009,Unprovoked,PANAMA,Bocas,Playa La Cabaña ,Wading,F,10,Arm & torso bitten,N,18:30,Unknown
1083,1083,2009.10.17,2009,Provoked,SCOTLAND,Fife,Deep Sea World Aquarium,Diving,M,23,15-20 puncture wounds to arm by captive shark  PROVOKED INCIDENT ,N,14:45,Angel shark
1084,1084,2009.10.14,2009,Unprovoked,AUSTRALIA,Western Australia,,Diving,M,23,Severe lacerations to lower right leg,N,14:45,"Bull shark, '"
1085,1085,2009.10.09,2009,Unprovoked,USA,California,"San Onofre State Beach, San Diego County",Surfing,M,,Laceration to shin of left leg,N,11:00,Unknown
1086,1086,2009.10.02,2009,Provoked,UNITED KINGDOM,Devon,Mewstone Rock,Fishing,M,39,Injury to forearm from shark's spine PROVOKED INCIDENT ,N,12:50,Spurdog
1087,1087,2009.09.26,2009,Unprovoked,USA,Florida,"Key Colony Beach, Monroe County",Swimming,M,,Laceration to right foot,N,17:30,"Bull shark, "
1088,1088,2009.09.18,2009,Unprovoked,VIETNAM,Unknown,,Unknown,M,,Lower right leg bitten,N,17:30,Unknown
1089,1089,2009.09.15,2009,Provoked,SOMALIA,Unknown,300 miles off the coast ,Fishing,M,,Arm bitten PROVOKED INCIDENT ,N,17:30,Unknown
1090,1090,2009.09.13,2009,Provoked,BRAZIL,Pernambuco,"Piedade, Recife",Unknown,M,34,Cause of death was drowning; his remains were scavenged by sharks,Y,17:30,Unknown
1091,1091,2009.09.12,2009,Invalid,USA,North Carolina,"Corolla, Currituck County",Swimming,M,60,FATAL,Y,21:00,Shark involvement prior death not confirmed
1092,1092,2009.09.07,2009,Unprovoked,BRAZIL,Pernambuco,"Piedade, Recife","Swimming,",M,15,FATAL,Y,18:30,Unknown
1093,1093,2009.09.02,2009,Invalid,NEVIS,Unknown,Castle Beach,Swimming,M,,Death was due to drowning. Two days later his remains were recovered from a 12' tiger shark,Unknown,18:30,Invalid
1094,1094,2009.09.01,2009,Provoked,SOLOMON ISLANDS,Makira-Ulawa Province,"Kirakira, Makira Island (formerly San Cristobal)",Fishing,M,,Injuries to face & neck PROVOKED INCIDENT,N,18:30,Unknown
1095,1095,2009.08.30,2009,Unprovoked,USA,California,"Huntington Beach, Orange County",Surfing,M,,No injury,N,18:30, shark
1096,1096,2009.08.29,2009,Unprovoked,SOUTH AFRICA,Western Cape Province,Glentana,Surfing,M,25,FATAL,Y,15:30,White shark
1097,1097,2009.08.25,2009,Unprovoked,USA,California,"Terramar Beach, Carlsbad, San Diego County",Swimming,F,22,Puncture wounds to left foot & calf,N,16:30,"White shark,  juvenile "
1098,1098,2009.08.11,2009,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Alkantstrand ,Surfing,M,,"No injury, shark bit bodyboard",N,Lunc:time,"White shark, "
1099,1099,2009.08.10,2009,Unprovoked,USA,Florida,"Ponce, Volusia County",Swimming,M,26,Puncture marks on left foot,N,19:00,Unknown
