,Date,Type,Country,Area,Location,Activity,Sex,Age,Injury,Fatal,Time,Species,activity,shark_species
751,1992-01-29,Unprovoked,Reunion,La Saline-les-Bains,Revine-3-Bassins,Spearfishing,M,Unknown,Survived,N,16:30:00, grey shark,fishing,
752,1990-05-06,Unprovoked,South Africa,Eastern Cape Province,Cintsa East,Resting on surfboard,M,22,Thigh severely lacerated,N,,"  white shark, identified by witnesses & oth marks",surfing,white shark
753,1989-10-14,Invalid,USA,Hawaii,"Kahe Point, O'ahu",Scuba diving,M,Unknown,"Disappeared 15 minutes into shallow dive. Decapitated body minus arm found by divers the following morning, then a large tiger shark appeared and consumed most of remains",Unknown,,Shark involvement suspected but not confirmed,diving,
754,1989-09-17,Unprovoked,South Africa,Western Cape Province,"Smitswinkel, False Bay",Free diving,M,29,Chest lacerated,N,14:30:00,"White shark, identified by oth pattern",diving,white shark
755,1989-07-14,Unprovoked,USA,Florida,"Cocoa Beach, Brevard County",Surfing,M,16,5-inch gash on left leg,N,,Unknown,surfing,
756,1988-10-24,Sea Disaster,Philippines,Viscayan Sea,Unknown,The MV Dona Marilyn sank in Typhoon Unsang with the loss of 389 lives,Unknown,Unknown,"According to survivors, many people were taken by sharks",Y,,Unknown,other,
757,1987-03-30,Provoked,South Africa,Western Cape Province,Muizenberg,Unknown,Unknown,Unknown,"No injury to occupants, boat holed by hooked shark PROVOKED INCIDENT",N,Unknown:00, white shark,other,white shark
758,1987-01-06,Unprovoked,Australia,Queensland,Lizard Island,Swimming,M,37,Right leg lacerated,N,,Unknown,swimming,
759,1986-04-20,Unprovoked,USA,Hawaii,"Kaliiwi, Kauai","Fishing, fell from rocks & disappeared",M,Unknown,Pieces of clothing & human flesh recovered by Fire Department divers who encountered a large shark,Y,,Unknown,fishing,
760,1984-03-17,Invalid,Somalia,Unknown,Unknown,Murder,M,Unknown,Forced at gunpoint to jump overboard. Presumed fatal; shark involvement probable but not confirmed,Unknown,Unknown:00,Shark involvement prior  death was not confirmed,other,
761,1983-11-10,Invalid,South Africa,KwaZulu-Natal,Tongaat,Swimming,F,Unknown,Probable drowning and scavenging,Unknown,,Shark involvement prior  death was not confirmed,swimming,
762,1983-03-22,Unprovoked,South Africa,Eastern Cape Province,Nahoon,Surfing,M,Unknown,"No injury, board bitten",N,,Blacktip or spinner shark,surfing,spinner shark
763,1982-02-14,Unprovoked,USA,Hawaii,"White Plains Beach, Barbers Point, O'ahu",Wading,F,Unknown,Left leg bitten,N,Unknown:00,Unknown,other,
764,1982-02-13,Unprovoked,USA,Florida,"Palm Beach, Palm Beach County",Swimming,F,75,Shark-bitten body found floating 1.5 miles offshore. Bruises suggested she may have been bitten by the shark before drowning,Y,,Unknown,swimming,
765,1981-08-24,Invalid,USA,Hawaii,"Keaukaha, Hilo, Hawai'i",Fishing,M,Unknown,Disappeared while fishing from shore. Leg found 7 days later wedged in rocks 150 yards offshore,Unknown,,Shark involvement prior  death remains unconfirmed,fishing,
766,1981-02-07,Unprovoked,Australia,Western Australia,"Parker's Point, Rottnest Island",Unknown,Unknown,Unknown,No details,Unknown,Unknown:00,Unknown,other,
767,1980-04-01,Unprovoked,Mexico,Sinaloa,MazatlÃ¡n,Body surfing,F,13,Right calf bitten,N,,Tiger shark,surfing,tiger shark
768,1979-12-05,Invalid,Portugal,Madeira Islands,"Sao Jorge, Madeira Island",Spearfishing,M,19,FATAL,Y,,White shark?,fishing,white shark
769,1979-09-14,Unprovoked,Australia,New South Wales,Byron Bay,Scuba diving,M,18,Leg bitten,N,Unknown:00,small shark,diving,
770,1979-05-01,Unprovoked,New Caledonia,North Province,Ile YandÃ© (between Poum and BÃ©lep),Fishing,Unknown,Unknown,"Thigh severely injured, survived",N,,Unknown,fishing,
771,1979-03-01,Watercraft,South Africa,Western Cape Province,Seal Island,Unknown,Unknown,Unknown,No Injury,N,,Unknown,other,
772,1978-03-05,Watercraft,South Africa,Eastern Cape Province,"Gulu Deep, East London",Unknown,Unknown,Unknown,"No injury to occupants; shark rammed boat 4 times, bit engine & cracked the hull",N,Unknown:00,Unknown,other,
773,1976-09-19,Unprovoked,Australia,South Australia,"Point Lowly, north of Whyalla","Skindiving,",M,27,"Right leg bitten below the knee, left ankle & foot lacerated",N,,   shark,diving,
774,1976-06-02,Provoked,Italy,Reggio Calabria Province,Bovalino,Fishing,M,46,Shark rammed boat PROVOKED INCIDENT,N,,"Blue shark, m",fishing,blue shark
775,1975-11-07,Unprovoked,Australia,Queensland,Lookout Point,Unknown,M,Unknown,Puncture wounds in hand,N,Unknown:00,Unknown,other,
776,1974-09-07,Unprovoked,Israel,Red Sea,"North Beach, Eilat",Swimming,F,20,"Bitten 12 times: multiple lacerations on hands, arms, shoulder breast thigh, both legs, left forearm surgically amputated",N,,"Shortfin mako shark,  ",swimming,mako shark
777,1973-12-25,Unprovoked,Mozambique,Gaza,Xai Xai,Spearfishing,M,41,"Right leg severed at knee, abrasion on left ankle",N,,Unknown,fishing,
778,1973-02-27,Unprovoked,Mexico,Guerrero,"Revolcadero Beach, Acapulco",Swimming,Unknown,57,"FATAL, multiple bites",Y,Unknown:00,Unknown,swimming,
779,1973-01-01,Unprovoked,South Africa,Eastern Cape Province,Queensberry Bay,Surfing,M,13,"No injury, surboard flung into air & dented",N,,Unknown,surfing,
780,1972-08-08,Unprovoked,Australia,Tasmania,Tasman Island,Diving for abalone,M,45,Left foot bitten,N,,"White shark, '",diving,white shark
781,1970-12-03,Sea Disaster,USA,Hawaii,Kauai,Shipwreck,M,41,Right thigh lacerated,N,Unknown:00,Unknown,sea accident,
782,1970-01-16,Sea Disaster,Egypt,Red Sea,A few miles south of Port Suez,Air disaster,M,Unknown,FATAL,Y,,Unknown,sea accident,
783,1968-04-29,Invalid,USA,Florida,"Fort Lauderdale, Broward County",Wading,M,63,Foot severely injured,Unknown,,Shark involvement not confirmed,other,
784,1968-04-15,Unprovoked,Australia,New South Wales,South Coast,"Diving. Shark â€œswallowedâ€™ his hand, so he threw his other around the shark and went â€œshark-back ridingâ€ for 30 yards until the shark opened its jaws",M,21,Hand lacerated,N,Unknown:00,"Bronze whaler shark,  ",diving,bronze whaler
785,1968-02-18,Provoked,New Zealand,North Island,"Pilot Bay, Mt Maunganui",Picking up shark by the tail,F,Unknown,Wrist bitten PROVOKED INCIDENT,N,,shark,other,
786,1967-08-10,Invalid,Australia,New South Wales,Jervis Bay,Anti-sabotage night dive exercise alongside destroyer (Scuba diving),M,? & 19,"Disappeared, no trace of men or equipment, shark attack considered",Unknown,,Shark involvement prior  death was not confirmed,diving,
787,1967-08-07,Unprovoked,USA,Florida,Near Key West,Spearfishing,M,15,Shark grasped thigh,N,14:30:00,"Nurse shark, m, ",fishing,nurse shark
788,1967-06-01,Provoked,Italy,Sicily,Stretto di Messina,Fishing boat,M,Unknown,"No injury to occupants,  harpooned shark sank boat PROVOKED INCIDENT",N,,"White shark,    ",fishing,white shark
789,1967-03-01,Unprovoked,Papua New Guinea,New Britain,"Barawon Beach, near Rabaul",Unknown,M,14,Leg bitten,N,,  shark,other,
790,1966-06-22,Provoked,USA,New Jersey,"Reeds Bay, Brigantine, Atlantic County",Clamming,M,15,3 lacerations on  right leg by speared fish PROVOKED INCIDENT,N,16:00:00,"Local authorities speculated that the water was o cold for sharks, but  , ",other,
791,1965-06-09,Unprovoked,Mexico,Veracruz,Mocambo,Swimming,M,38,"Right forearm severed, right leg bitten and surgically amputated",N,,Unknown,swimming,
792,1965-06-09,Provoked,USA,Florida,"Between Palm  & Salerno Inlets, Martin County",Collecting marine specimens,M,Unknown,"No injury, shark tore his wetsuit after he grabbed it by the tail  PROVOKED INCIDENT",N,,"Nurse shark, .   ",fishing,nurse shark
793,1964-08-21,Unprovoked,USA,Florida,"Panama City, Bay County",Swimming,M,Unknown,"No injury,  bumped repeatedly",N,11:30:00,shark,swimming,
794,1964-03-28,Sea Disaster,Papua New Guinea,Central Province,30 miles from Port Moresby,"Canoe capsized with 10 occupants, 8 survived,  Hamilton swam off to seek help",M,32,Presumed FATAL,Y,,Unknown,kayaking/canoeing,
795,1963-11-30,Unprovoked,New Zealand,South Island,"Charteris Bay, Lyttleton Harbour",Treading water while alongside capsized yacht,M,20,Hand & lower leg severely injured,N,,Possibly broadnose ,sea accident,
796,1963-11-14,Provoked,Australia,Queensland,Mermaid Beach,Catching sharks under government contract,M,Unknown,"No injury to occupant, netted shark rammed & bit boat PROVOKED INCIDENT",N,Unknown:00,"White shark, '",other,white shark
797,1963-04-20,Unprovoked,USA,US Virgin Islands,"St. Thomas, Magens Bay",Swimming,M,25,"FATAL, hand severed, shoulder, hip, foot, thigh bitten & femoral artery severed",Y,,"Hand found in gut of     Galapagos shark, C. galapagensis",swimming,galapagos shark
798,1963-04-13,Unprovoked,Australia,Western Australia,Yallingup,Surfing on chest board (boogie board?),M,25,Arm bitten,N,,     shark,boogie boarding,
799,1963-04-12,Unprovoked,USA,Hawaii,"Awili, South Kona, Hawai'i",Surfing,M,15,Left foot & leg bitten,N,14:00:00,o   shark seen in vicinity,surfing,
800,1962-08-30,Provoked,Papua New Guinea,Northern District,Kufulu Point,Fishing,M,49,Posterior lower left leg lacerated by netted shark PROVOKED INCIDENT,N,,long thin brown,fishing,
801,1961-07-01,Provoked,Panama,Unknown,"Jarque, just south of PiÅˆas Bay",Fishing (trolling)  from canoe,M,10,"FATAL, hooked shark pulled him into the water PROVOKED INCIDENT",Y,,Unknown,fishing,
802,1961-04-25,Provoked,Australia,New South Wales,"Trial Bay, north of Kempsey",Spearfishing,M,Unknown,Speared shark bit Davy's ankle &  Pierpont's right leg  PROVOKED INCIDENT,N,12:00:00,"Wobbegong shark,  ",fishing,wobbegong shark
803,1961-04-01,Provoked,Australia,Western Australia,Rottnest Island,Spearfishing,M,Unknown,Speared shark bit his arm & seat of pants of diving suit  PROVOKED INCIDENT,N,,"Wobbegong shark,  ",fishing,wobbegong shark
804,1960-10-01,Invalid,Johnston Island,Unknown,Unknown,"Free diving / photography, kneeling on sand",M,37,"No injury, shark made threat display",Unknown,,Invalid,diving,
805,1960-06-24,Unprovoked,USA,Florida,"2 miles east of Dania Beach, Broward County",Scuba diving,M,39,"No injury, shark harrassed diver & attempted to bite his swimfins",N,11:00:00,"Mako shark,      with hook & wire leader caught in mouth",diving,mako shark
806,1959-08-14,Sea Disaster,Philippines,Queaon,Between Unisan & Angadanan Islands,Fishing boat capsized,Unknown,Unknown,"10 of the 15 people perished, bodies of some who drowned  were scavenged by sharks",Y,,Unknown,fishing,
807,1959-07-02,Provoked,USA,Florida,"Delray Beach, Palm Beach County",Free diving,M,13,Arm bitten when he grabbed sharkâ€™s tail  PROVOKED INCIDENT,N,,"Nurse shark,  c, identified by Dr. L.P. L. Schultz on phograph",diving,nurse shark
808,1959-05-16,Unprovoked,USA,Florida,"Indian Rocks Beach, Clearwater, Pinellas County",Unknown,F,37,Minor injuries,N,Unknown:00,  shark,other,
809,1959-05-03,Unprovoked,USA,Florida,"Panama City, Bay County",Spearfishing,M,19,Lacerated hip & hands,N,,"Tiger shark,  ",fishing,tiger shark
810,1959-03-01,Watercraft,USA,Florida,Miami,"On boat, preparing to dive",M,Unknown,Boat followed shark; shark holed boat,N,,Tiger shark  ,diving,tiger shark
811,1957-01-01,Unprovoked,Iran,Karun River,Hesamabad,Unknown,M,Unknown,Survived,N,Unknown:00,Bull shark,other,bull shark
812,1956-10-27,Unprovoked,South Africa,Western Cape Province,"Glencairn, False Bay",Free diving for sinkers,M,29,Right heel lacerated & swim fin removed by shark,N,,"White shark, according  witnesses",diving,white shark
813,1955-09-23,Sea Disaster,North Pacific Ocean,1000 miles west of Hawaii,Between Wake & Johnston Islands,Flying Tiger transport plane went down with 5 men onboard,M,Unknown,Bitten several times before being rescued after 43 hours in the sea by the freighter Stell Advocate,N,,"Survivors said  species of sharks were involved:  oceanic whitetip sharks and another species,",other,oceanic whitetip shark
814,1954-10-07,Sea Disaster,USA,Virginia,150 miles off Cape Henry,"American freighter Mormackite, bound from Buenos Aires for Baltimore, capsized & sank in heavy seas",M,Unknown,Rescue aircraft saw bodies in the water being bitten by sharks. One survivor saw a shark take off a manâ€™s leg & another reported that the second cook was killed by a shark,Y,Unknown:00,Unknown,kite surfing,
815,1953-07-16,Provoked,USA,California,"Santa Catalina Island, Los Angeles County",Fishing from market fishboat Sea Spray,M,Unknown,Arm bitten by hooked shark PROVOKED INCIDENT,N,,Unknown,fishing,
816,1953-04-01,Unprovoked,Iran,Karun River,"near Ahvaz, 275 km from the sea",Swimming in midriver near sewage outlet & 400 m from a slaughterhouse,M,Unknown,Right forearm severed at the elbow,N,,"  shark, probable bull shark",swimming,bull shark
817,1953-01-01,Unprovoked,USA,Florida,"Juno Beach, Palm Beach County",Standing,F,Unknown,Leg lacerated thigh to ankle,N,Unknown:00,Unknown,bathing,
818,1952-12-21,Unprovoked,Australia,South Australia,Cape Douglas,"Fishing, setting nets",M,25,Bitten on thigh and buttocks,N,,  shark,fishing,
819,1952-01-01,Unprovoked,USA,Florida,Near Key West,Swimming,M,Unknown,"FATAL, groin bitten",Y,,Unknown,swimming,
820,1951-03-15,Unprovoked,South Africa,KwaZulu-Natal,"South Beach, Durban",Body surfing,M,19,Left foot lacerated,N,12:00:00,Unknown,surfing,
821,1947-12-01,Unprovoked,Senegal,Unknown,"Tiaroye, near Dakar, Cap Vert Peninsula",Fishing / diving,M,Unknown,"FATAL, right thigh bitten",Y,,Tiger shark,diving,tiger shark
822,1945-03-06,Unprovoked,South Africa,KwaZulu-Natal,Scottburgh,Walking,M,37,"Right leg bitten knee to foot, surgically amputated",N,,Thought  involve Zambesi shark,other,zambesi shark
823,1943-10-26,Invalid,USA,Florida,Victim was on said to be on tanker that collided off Florida coast on 10-20-1943,Unknown,M,Unknown,"Hand, forearm, leg and pelvis recovered from 4.25 m  [14'] shark caught at Bakerâ€™s Haulover, Miami Beach on 26-Oct-1943",Unknown,Unknown:00,Shark involvement prior  death unconfirmed,other,
824,1943-05-27,Invalid,Pacific Ocean,Unknown,Unknown,B-24 crashed during a search mission. Survivors in raft for 47 days,M,Unknown,Survived,Unknown,,Invalid,other,
825,1943-01-01,Unprovoked,Solomon,Unknown,Guadalcanal,Swimming,M,Unknown,Arm severed,N,,Unknown,swimming,
826,1942-03-04,Invalid,Australia,New South Wales,Georgeâ€™s River,Unknown,M,18,"Cause of death was drowning, shark bites were post mortem",Unknown,Unknown:00,Invalid,other,
827,1941-07-22,Watercraft,USA,New Jersey,"Brielle, Monmouth County (Offshore)",Fishing for tuna,Unknown,Unknown,"No injury to occupants, shark leapt into boat & bit cabin door",N,,Mako shark,fishing,mako shark
828,1941-01-29,Unprovoked,South Atlantic Ocean,In Convoy OB 274,Off Sierra Leone,Rescuing seaman after ship sunk by German raider,M,19,Clothing torn by sharks,N,,Unknown,other,
829,1940-01-23,Unprovoked,Australia,New South Wales,"North Brighton, Botany Bay",Swimming,M,13,"FATAL, left leg severed",Y,10:40:00,  shark,swimming,
830,1935-05-12,Unprovoked,Australia,Torres Strait,On edge of reef near Warrior Island,Pearl diving,M,Unknown,3 gashes on hand & wrist,N,,  shark,diving,
831,1934-10-09,Unprovoked,Australia,Northern Territory,"Redcliff, Cobourg Peninsula",Bathing,F,38,FATAL,Y,,Unknown,bathing,
832,1933-06-16,Unprovoked,USA,South Carolina,"Folly Island, near Charleston",Standing,F,Unknown,Left calf bitten,N,Unknown:00,Unknown,bathing,
833,1933-05-23,Provoked,Australia,Queensland,Off Stradbroke Island,Fishing,M,Unknown,Laceration to lower leg by netted shark PROVOKED INCIDENT,N,, shark,fishing,
834,1932-12-11,Unprovoked,Australia,Northern Territory,Arnhem Land,Unknown,M,Unknown,Leg bitten,N,,Unknown,other,
835,1932-10-31,Unprovoked,Australia,New South Wales,"Redhead Beach, Newcastle",Swimming,M,24,"Torso bitten with pneumothorax, slight lacerations on left hand",N,11:00:00,Thought  involve mako or grey nurse shark,swimming,grey nurse shark
836,1932-08-30,Provoked,Australia,New South Wales,Newcastle,Unknown,M,Unknown,Bitten by landed shark PROVOKED INCIDENT,N,,Unknown,other,
837,1929-12-16,Unprovoked,Australia,New South Wales,Collaroy,Bathing or body surfing,F,17,Superficial lacerations on right leg,N,,small shark,bathing,
838,1929-12-16,Invalid,USA,Florida,Off Florida coast,Jumped overboard and swimming,M,Unknown,"FATAL, presumed taken by shark/s",Unknown,21:00:00,Shark involvement not confirmed,swimming,
839,1924-02-08,Invalid,Australia,Queensland,Currumbin,Bathing,M,Unknown,Probable drowning & scavenging,Unknown,,Shark involvement prior  death unconfirmed,bathing,
840,1920-03-08,Unprovoked,Australia,Queensland,"Between Bay Rock & Magnetic Island, Cleveland Bay","Boat capsized, swimming to shore",M,20,"Tossed in air by shark, sustained abrasions",N,,Unknown,swimming,
841,1916-12-08,Unprovoked,Australia,New South Wales,"Seven Shillings Beach, Middle Harbor, Sydney (Estuary)",Taking wife to beach & about 1 m from the shore,M,41,"FATAL, right arm severed, chest punctured",Y,09:00:00,Unknown,other,
842,1915-02-06,Unprovoked,Australia,Queensland,Wynnum-Manley,Swimming,M,Unknown,Foot bitten,N,,Unknown,swimming,
843,1915-02-06,Invalid,USA,Florida,"Soldier Key, Miami-Dade County",Unknown,M,Unknown,"Fatal, drowning or scavenging",Unknown,,"Reported  involve   shark, possibly white shark",other,white shark
844,1914-12-04,Unprovoked,Australia,Queensland,Magnetic Island,Swimming,M,Unknown,Lacerations to right thigh and knee,N,Unknown:00,Unknown,swimming,
845,1914-07-07,Unprovoked,Croatia,Primorje-Gorski Kotar County,Rijeka,Unknown,M,Unknown,"No injury, shark nudged raft and circled for 2 hrs.",N,, shark,other,
846,1909-04-10,Invalid,USA,Hawaii,"Pa'uwela, Maui",Reported swept away by waves while gathering opihi,F,19,Search party saw a large shark devour what appeared to be part of her body,Unknown,,Questionable,other,
847,1908-01-08,Unprovoked,USA,Hawaii,"Mana, Kaua'i",Gathering fish stunned by dynamite,M,Unknown,"FATAL, pulled below the surface'",Y,Unknown:00,Unknown,other,
848,1907-10-16,Unprovoked,China,Hong Kong,"Sharp Peak, Sai Kung Peninsula, New Territories",Fishing,M,Unknown,2 of the 5 fishermen were so seriously injured they died of their wounds,Y,,Shark involvement probable,fishing,
849,1907-01-01,Unprovoked,Vietnam,KhÃ¡nh HÃ²a Province,Nha Trang,Fishing,M,20,"Leg severely bitten, surgically amputated",N,,Unknown,fishing,
850,1904-01-01,Unprovoked,Philippines,Quezon,Tayabas,Bathing,M,Unknown,Left arm bitten,N,Unknown:00,Unknown,bathing,
851,1900-12-27,Unprovoked,Australia,New South Wales,"Middle Harbour, Sydney",Bathing,M,Unknown,FATAL,Y,,Unknown,bathing,
852,1900-11-14,Unprovoked,South Africa,Western Cape Province,Three Anchor Bay,Swimming,M,30,"FATAL, legs severed",Y,,Unknown,swimming,
853,2022-07-07,Unprovoked,USA,New York,"Ocean Beach, Long Island",Lifeguard Training Exercise,M,17,Minor injury to foot,N,11:oo:00,Unknown,other,
854,2022-07-01,Unprovoked,Indonesia,Bali,Balian Beach,Surfing,F,Unknown,Lacerations to foot,N,,Unknown,surfing,
855,2022-06-23,Unprovoked,USA,Florida,"Redington Beach, Pinellas County",Unknown,F,Unknown,Leg bitten,N,,Unknown,other,
856,2021-09-03,Unprovoked,Unknown,Turks and Caicos,Unknown,Unknown,M,Unknown,Wrist bitten,N,Unknown:00,Unknown,other,
857,2021-08-03,Unprovoked,USA,South Carolina,"Hilton Head Island, Beaufort County",Unknown,M,Unknown,Lacerations to lower body,N,,Blacktip shark,other,blacktip shark
858,2021-07-21,Unprovoked,USA,California,"Capitola Beach, Santa Cruz County",Surfing,F,Unknown,No injury,N,,Unknown,surfing,
859,2021-07-04,Provoked,USA,BAHAMAS,Unknown,Spearfishing,F,19,PROVOKED INCIDENT Lacerations to right hand,N,Unknown:00,Said  involve bull shark,fishing,bull shark
860,2021-06-18,Unprovoked,USA,Florida,"Bethune Beach, Volusia County",Standing,M,12,Left arm bitten,N,,Unknown,bathing,
861,2021-01-07,Unprovoked,New Zealand,North Island,"WaihÄ«  Beach, Bay of Plenty",Swimming,F,19,FATAL,Y,,Unknown,swimming,
862,2020-05-26,Unprovoked,Spain,Canary Islands,"Famara Beach, Lanzarote",Playing,M,9,Lacerations to both feet,N,Unknown:00,Angel shark,bathing,angel shark
863,2019-12-24,Unprovoked,New Zealand,Southland,Oreti Beach,Boogie boarding,F,17,Laceration to thigh,N,,Unknown,boogie boarding,
864,2019-11-06,Unprovoked,USA,California,"San Onofre, San Diego County",Surfing,F,Unknown,"No inury, knocked from board",N,,Juvenile white shark?,surfing,white shark
865,2019-06-06,Unprovoked,Australia,Tasmania,Maatsuyker Island,Abalone diving,M,Unknown,Bumped by shark but no injury,N,Unknown:00,Unknown,diving,
866,2018-11-09,Unprovoked,Bahamas,Exumas,Compass Cay,Swimming,M,8,Arc of shallow lacerations to back,N,,Nurse shark,swimming,nurse shark
867,2018-09-28,Unprovoked,Australia,Northern Territory,Groote Eylandt,Unknown,M,17,Knee bitten,N,,Bull shark,other,bull shark
868,2018-08-15,Questionable,USA,Maryland,"Rhode River, Chesapeake Bay",Unknown,M,Unknown,Scratches to calf,N,Unknown:00,Unknown,other,
869,2018-04-24,Unprovoked,Australia,Western Australia,"South Point, Gracetown",Surfing,M,Unknown,"No injury, shark struck his leg",N,,"White shark, ",surfing,white shark
870,2017-10-23,Unprovoked,USA,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",Swimming,F,60,Severe lacerations to left hand & wrist,N,,Unknown,swimming,
871,2017-06-18,Unprovoked,USA,South Carolina,"Burkes Beach, Hilton Head, Beaufort County",Swimming,F,14,Leg bitten,N,Unknown:00,"Bull shark,  '",swimming,bull shark
872,2016-08-29,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,25,Lacerations to right foot,N,,"Bull shark, '",surfing,bull shark
873,2016-07-26,Unprovoked,Australia,New South Wales,"Sharpes Beach, Ballina",Surfing,M,18,"No injury. Leg rope severed, knocked off board by shark",N,,Unknown,surfing,
874,2016-07-07,Watercraft,USA,California,"Off Palos Verdes peninsula, Los Angeles County",Fishing,M,Unknown,"No injury. Hull bitten, tooth fragment recovered",N,Unknown:00,White shark,fishing,white shark
875,2015-11-01,Unprovoked,Mozambique,Inhambane Province,Maxixe,Fishing,M,19,"Arms severely injured, surgically amputated",N,,Unknown,fishing,
876,2015-10-04,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,14,Severe lacerations to left hand,N,,"Blacktip shark,  '",surfing,blacktip shark
877,2015-06-25,Unprovoked,USA,North Carolina,"Avon, Hatteras Island, Outer Banks, Dare County",Body surfing?,M,47,Multiple lacerations to back,N,11:41:00,Unknown,surfing,
878,2015-06-24,Unprovoked,USA,North Carolina,Surf City,Swimming,M,6,Minor injury to foot,N,,Sandtiger shark,swimming,tiger shark
879,2015-05-20,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,18,2 puncture wounds to  dorsum of left foot,N,,shark,surfing,
880,2015-03-26,Watercraft,South Africa,Eastern Cape Province,Yellow Sands Point,Kayak Fishing,M,36,No injury but kayak bitten,N,Unknown:00,"White shark,  m",fishing,white shark
881,2014-12-23,Unprovoked,Japan,Unknown,Unknown,Diving / Filming,M,Unknown,"No injury, shark snagged its teeth in diver's suit",N,,Goblin shark,diving,
882,2014-10-02,Unprovoked,Australia,Western Australia,"Kelpids Beach, Wylie Bay, Esperance",Surfing,M,23,"Left arm & right hand severed, lacerations to both legs",N,, white shark: & ,surfing,white shark
883,2014-08-28,Provoked,USA,Maryland,Assateague National Seashore,Fishing,M,33,Lacerations to foot by hooked shark PROVOKED INCIDENT,N,Unknown:00,Unknown,fishing,
884,2014-05-10,Invalid,USA,Florida,"Bethel Shoals, Indian River County",Diving,M,Unknown,"No injury. No attack. 12' white shark appeared curious, not aggressive & departed when prodded by spear",Unknown,,No shark involvement,diving,
885,2014-01-26,Provoked,Australia,New South Wales,Umina Beach,Fishing,M,Unknown,Lacerations to ring and pinky fingers of his left hand by hooked shark PROVOKED INCIDENT,N,,shark,fishing,
886,2013-12-25,Unprovoked,New Caledonia,North Province,"LindÃ©ralique, HienghÃ¨ne",Snorkeling,M,37,Leg bitten,N,11:00:00,Reported  involve bull shark,snorkelling,bull shark
887,2013-12-02,Unprovoked,USA,Hawaii,"Between  Makena & Molokini, Maui",Kayaking / Fishing,M,57,FATAL,Y,,Unknown,fishing,
888,2013-10-26,Unprovoked,Reunion,dâ€™Ã‰tang-SalÃ©,Ravine Mula,Body boarding,M,24,Right leg severed,N,,Thought  involve bull shark,body boarding,bull shark
889,2013-10-19,Unprovoked,USA,Florida,Miami Beach,Wading,M,6,Bitten on left calf & foot,N,Unknown:00,Nurse shark?,other,nurse shark
890,2013-05-08,Unprovoked,Reunion,Saint-Gilles,Brisant Beach,Body boarding,M,36,FATAL,Y,,Bull shark,body boarding,bull shark
891,2012-11-04,Unprovoked,USA,Hawaii,"Davidson's Surf Break, Kekaha, Kaua'i",Surfing,M,43,"No injury, surfboard bitten",N,,"Tiger shark, '",surfing,tiger shark
892,2012-09-16,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",Surfing,M,52,Foot bitten,N,15:00:00,Unknown,surfing,
893,2012-07-31,Unprovoked,Australia,South Australia,Streaky Bay,Surfing,M,48,Lacerations to torso & arm,N,,White shark or bronze whaler,surfing,white shark
894,2012-02-06,Unprovoked,Australia,Queensland,Wurtulla,Surfing,M,29,"No injury, but fin lost from surfboard",N,,Unknown,surfing,
895,2011-11-29,Unprovoked,Indonesia,Bali,Tabanan,Surfing,M,18,Lacerations to right hand,N,13:30:00,Unknown,surfing,
896,2011-11-20,Unprovoked,Papua New Guinea,East New Britain,Pigeon Island,Scuba diving,M,Unknown,"No injury, shark collided with diver",N,,Unknown,diving,
897,2011-09-04,Unprovoked,USA,Hawaii,"Nimitz State Beach, Oahu",Surfing,Unknown,Unknown,"No injury, shark bit surfboard",N,,Unknown,surfing,
898,2011-08-28,Invalid,Australia,Queensland,Fantome Island,Swimming,M,48,FATAL,Unknown,19:30:00,Shark involvement prior  death not confirmed,swimming,
899,2011-08-16,Unprovoked,French Polynesia,Society Islands,"Teahupoo, Tahiti",Surfing,M,32,"No injury, board bitten",N,,Grey reef shark,surfing,grey reef shark
900,2011-07-07,Unprovoked,USA,Texas,"Sunday Beach, Matagorda Island, Calhoun  County",Swimming,M,12,Foot bitten,N,,Unknown,swimming,
901,2011-02-12,Unprovoked,Australia,Western Australia,Exmouth,Snorkeling,M,58,Arm bitten,N,Unknown:00,Unknown,snorkelling,
902,2010-11-27,Unprovoked,Samoa,Unknown,Unknown,Fishing,M,47,Serious wounds to chest,N,,Unknown,fishing,
903,2010-08-02,Unprovoked,USA,Florida,"Micklers Landing, St. Johns County",Standing,F,37,Lacerations to forearm,N,, shark,bathing,
904,2010-07-11,Provoked,USA,Florida,"Lauderdale-by-the-Sea, Broward County",Fishing,M,Unknown,Small laceration to forearm from netted shark  PROVOKED INCIDENT,N,Unknown:00,"Nurse shark, juvenile",fishing,nurse shark
905,2009-09-02,Invalid,Nevis,Unknown,Castle Beach,Swimming,M,Unknown,Death was due to drowning. Two days later his remains were recovered from a 12' tiger shark,Unknown,,Invalid,swimming,
906,2009-08-06,Unprovoked,USA,Hawaii,Kawa'a,Surfing,M,Unknown,"No injury, surfboard bitten",N,,"Tiger shark, ",surfing,tiger shark
907,2009-07-24,Unprovoked,USA,Texas,South Padre Island,Wading,F,14,Lacerations to anterior left lower leg,N,Unknown:00,Unknown,other,
